N;BuscaSeq;BuscaBin;Bubble;Merge;Quick
10000;0.244000000000000;0.008000000000000;0.095000000000000;0.001000000000000;0.001000000000000
13220;0.328000000000000;0.008000000000000;0.184000000000000;0.001000000000000;0.000000000000000
16440;0.397000000000000;0.008000000000000;0.325000000000000;0.002000000000000;0.001000000000000
19660;0.476000000000000;0.008000000000000;0.513000000000000;0.002000000000000;0.001000000000000
22880;0.532000000000000;0.009000000000000;0.736000000000000;0.002000000000000;0.001000000000000
26100;0.613000000000000;0.008000000000000;0.986000000000000;0.003000000000000;0.001000000000000
29320;0.685000000000000;0.009000000000000;1.276000000000000;0.003000000000000;0.002000000000000
32540;0.738000000000000;0.008000000000000;1.596000000000000;0.003000000000000;0.003000000000000
35760;0.806000000000000;0.009000000000000;1.970000000000000;0.004000000000000;0.002000000000000
38980;0.869000000000000;0.009000000000000;2.344000000000000;0.004000000000000;0.004000000000000
42200;0.913000000000000;0.010000000000000;2.761000000000000;0.004000000000000;0.003000000000000
45420;0.978000000000000;0.008000000000000;3.271000000000000;0.004000000000000;0.004000000000000
48640;1.037000000000000;0.008000000000000;3.750000000000000;0.005000000000000;0.004000000000000
51860;1.091000000000000;0.009000000000000;4.278000000000000;0.005000000000000;0.004000000000000
55080;1.122000000000000;0.009000000000000;4.842000000000000;0.006000000000000;0.004000000000000
58300;1.203000000000000;0.010000000000000;5.462000000000000;0.005000000000000;0.005000000000000
61520;1.240000000000000;0.009000000000000;6.101000000000000;0.006000000000000;0.005000000000000
64740;1.262000000000000;0.010000000000000;6.776000000000000;0.007000000000000;0.006000000000000
67960;1.326000000000000;0.010000000000000;7.482000000000000;0.007000000000000;0.006000000000000
71180;1.388000000000000;0.009000000000000;8.221000000000000;0.007000000000000;0.007000000000000
74400;1.411000000000000;0.009000000000000;9.065000000000000;0.008000000000000;0.007000000000000
77620;1.462000000000000;0.010000000000000;9.845000000000001;0.008000000000000;0.006000000000000
80840;1.519000000000000;0.010000000000000;10.720000000000001;0.008000000000000;0.007000000000000
84060;1.553000000000000;0.010000000000000;11.612000000000000;0.009000000000000;0.007000000000000
87280;1.602000000000000;0.010000000000000;12.625999999999999;0.010000000000000;0.007000000000000
90500;1.659000000000000;0.010000000000000;13.593000000000000;0.010000000000000;0.007000000000000
93720;1.698000000000000;0.009000000000000;14.462999999999999;0.010000000000000;0.008000000000000
96940;1.697000000000000;0.010000000000000;15.574999999999999;0.011000000000000;0.008000000000000
100160;1.754000000000000;0.010000000000000;16.664999999999999;0.011000000000000;0.008000000000000
103380;1.788000000000000;0.010000000000000;17.776000000000000;0.011000000000000;0.009000000000000
106600;1.839000000000000;0.009000000000000;18.920999999999999;0.012000000000000;0.008000000000000
109820;1.849000000000000;0.010000000000000;20.138000000000002;0.012000000000000;0.009000000000000
113040;1.903000000000000;0.009000000000000;21.359999999999999;0.012000000000000;0.010000000000000
116260;1.946000000000000;0.010000000000000;22.631000000000000;0.012000000000000;0.010000000000000
119480;1.959000000000000;0.010000000000000;23.890999999999998;0.013000000000000;0.010000000000000
122700;1.992000000000000;0.010000000000000;25.158000000000001;0.014000000000000;0.010000000000000
125920;2.050000000000000;0.010000000000000;26.661000000000001;0.014000000000000;0.011000000000000
129140;2.079000000000000;0.010000000000000;27.846000000000000;0.014000000000000;0.011000000000000
132360;2.099000000000000;0.010000000000000;29.347000000000001;0.015000000000000;0.011000000000000
135580;2.110000000000000;0.009000000000000;30.844999999999999;0.015000000000000;0.013000000000000
138800;2.156000000000000;0.009000000000000;32.475000000000001;0.016000000000000;0.011000000000000
142020;2.198000000000000;0.011000000000000;33.860999999999997;0.016000000000000;0.012000000000000
145240;2.203000000000000;0.010000000000000;35.406999999999996;0.017000000000000;0.013000000000000
148460;2.302000000000000;0.010000000000000;37.115000000000002;0.017000000000000;0.012000000000000
151680;2.270000000000000;0.010000000000000;38.659999999999997;0.017000000000000;0.013000000000000
154900;2.302000000000000;0.010000000000000;40.273000000000003;0.017000000000000;0.014000000000000
158120;2.354000000000000;0.010000000000000;42.255000000000003;0.018000000000000;0.013000000000000
161340;2.367000000000000;0.010000000000000;43.779000000000003;0.018000000000000;0.014000000000000
164560;2.365000000000000;0.010000000000000;45.762000000000000;0.019000000000000;0.014000000000000
167780;2.401000000000000;0.010000000000000;47.404000000000003;0.018000000000000;0.015000000000000
171000;2.412000000000000;0.011000000000000;49.316000000000003;0.019000000000000;0.016000000000000
174220;2.466000000000000;0.010000000000000;51.332000000000001;0.021000000000000;0.015000000000000
177440;2.513000000000000;0.010000000000000;53.142000000000003;0.021000000000000;0.015000000000000
180660;2.485000000000000;0.010000000000000;55.164999999999999;0.021000000000000;0.018000000000000
183880;2.537000000000000;0.010000000000000;57.070000000000000;0.021000000000000;0.016000000000000
187100;2.548000000000000;0.010000000000000;59.207000000000001;0.021000000000000;0.016000000000000
190320;2.577000000000000;0.010000000000000;61.134000000000000;0.023000000000000;0.016000000000000
193540;2.593000000000000;0.010000000000000;63.526000000000003;0.022000000000000;0.017000000000000
196760;2.636000000000000;0.010000000000000;65.531999999999996;0.023000000000000;0.017000000000000
199980;2.673000000000000;0.010000000000000;67.731999999999999;0.023000000000000;0.017000000000000
